#  2017年　東京，　最高気温，最低気温,,
# http://www.data.jma.go.jp/gmd/risk/obsdl/,,
Date,MaxTemp,MinTemp
2017/1/1,13.8,2
2017/1/2,13.3,3.8
2017/1/3,13.7,3.5
2017/1/4,14,3.6
2017/1/5,10.4,3.7
2017/1/6,8.8,1.5
2017/1/7,8.7,0.1
2017/1/8,6,1.6
2017/1/9,11.1,3.8
2017/1/10,12.7,3.5
2017/1/11,11,3.9
2017/1/12,12.1,0.7
2017/1/13,12.7,1.4
2017/1/14,6.3,-1.3
2017/1/15,4.7,-2.3
2017/1/16,8,-2
2017/1/17,10.9,0.7
2017/1/18,10.3,1.1
2017/1/19,10.9,2.4
2017/1/20,3.8,2.2
2017/1/21,11,1.2
2017/1/22,12.9,0.9
2017/1/23,7.9,0.2
2017/1/24,7.7,-1.9
2017/1/25,9.5,-1.2
2017/1/26,10.7,-1.4
2017/1/27,16,1.4
2017/1/28,13.6,4.6
2017/1/29,12,4.8
2017/1/30,19.5,6.7
2017/1/31,10,2.8
2017/2/1,10.6,2.2
2017/2/2,9.7,0.9
2017/2/3,13.7,1
2017/2/4,13.4,4.4
2017/2/5,9.9,3.4
2017/2/6,15.7,3.3
2017/2/7,10,2.2
2017/2/8,11,1.9
2017/2/9,5.4,1
2017/2/10,9.3,1.5
2017/2/11,10.1,-1.6
2017/2/12,11.2,-0.4
2017/2/13,11.8,1
2017/2/14,11.8,2.1
2017/2/15,12.8,1.2
2017/2/16,13.7,1.3
2017/2/17,20.6,4.8
2017/2/18,10.7,6.4
2017/2/19,11.5,1.6
2017/2/20,19.7,1.8
2017/2/21,9.9,3.6
2017/2/22,10.6,1.1
2017/2/23,16.3,8.4
2017/2/24,11.3,5.2
2017/2/25,12.7,3.5
2017/2/26,14.2,3.3
2017/2/27,9.7,4.3
2017/2/28,10.1,3.2
2017/3/1,11.1,1.4
2017/3/2,8.7,5.4
2017/3/3,16,3.7
2017/3/4,14.6,3
2017/3/5,15.9,4.9
2017/3/6,11.5,7.6
2017/3/7,10.9,2.3
2017/3/8,11.8,0
2017/3/9,13,1.3
2017/3/10,14.8,3.2
2017/3/11,13.2,4.3
2017/3/12,12.2,3.1
2017/3/13,12.8,6
2017/3/14,11,6.4
2017/3/15,7.5,4
2017/3/16,15.5,1.9
2017/3/17,15.2,3.8
2017/3/18,16.2,3.6
2017/3/19,18.6,5.1
2017/3/20,18.7,7
2017/3/21,12.9,6.8
2017/3/22,15,5.7
2017/3/23,15.7,4.3
2017/3/24,13.9,4.6
2017/3/25,12.7,3.4
2017/3/26,8.1,4.8
2017/3/27,8.3,2.4
2017/3/28,14.9,3.2
2017/3/29,14.7,4.3
2017/3/30,17.8,6.3
2017/3/31,12.3,4.9
2017/4/1,8.9,4.6
2017/4/2,14.2,4.6
2017/4/3,16.1,6.4
2017/4/4,17.3,4.5
2017/4/5,20.7,7.7
2017/4/6,21.2,12.9
2017/4/7,21.6,15.5
2017/4/8,17.7,12.6
2017/4/9,15.2,11.1
2017/4/10,15.7,6.9
2017/4/11,10.7,6.4
2017/4/12,21.6,8.3
2017/4/13,17.6,6.7
2017/4/14,21.5,7.4
2017/4/15,24.2,14.2
2017/4/16,26.1,12
2017/4/17,26.1,13.8
2017/4/18,25.7,14.1
2017/4/19,26.1,12.7
2017/4/20,21.1,10.9
2017/4/21,19.2,13
2017/4/22,18.4,9.7
2017/4/23,20.3,8.8
2017/4/24,19.6,10.1
2017/4/25,21,12
2017/4/26,19.4,13.9
2017/4/27,19.4,12.1
2017/4/28,21.6,11.5
2017/4/29,23.4,10.2
2017/4/30,24.3,10.7
2017/5/1,26,13.6
2017/5/2,23.3,11.3
2017/5/3,22.4,12.3
2017/5/4,23.3,15
2017/5/5,25.6,14.6
2017/5/6,28.2,15.3
2017/5/7,24.3,13.8
2017/5/8,27.8,13.6
2017/5/9,21.9,16.3
2017/5/10,17.9,15.1
2017/5/11,27.4,14.8
2017/5/12,28.3,17.2
2017/5/13,20.1,16.1
2017/5/14,20.4,15.3
2017/5/15,22.6,15.4
2017/5/16,23.4,16.4
2017/5/17,19.7,14.8
2017/5/18,23.6,14.5
2017/5/19,26.3,14.6
2017/5/20,28.7,15.5
2017/5/21,30.9,17.6
2017/5/22,29,18.2
2017/5/23,27.4,19
2017/5/24,26.2,19.2
2017/5/25,24,18
2017/5/26,20.8,17.3
2017/5/27,27.3,18
2017/5/28,26.7,17.9
2017/5/29,26.9,17
2017/5/30,29.1,17.2
2017/5/31,27.5,20.7
