,speed,dist
0,4.0,2.0
1,4.0,10.0
2,7.0,4.0
3,7.0,22.0
4,8.0,16.0
5,9.0,10.0
6,10.0,18.0
7,10.0,26.0
8,10.0,34.0
9,11.0,17.0
10,11.0,28.0
11,12.0,14.0
12,12.0,20.0
13,12.0,24.0
14,12.0,28.0
15,13.0,26.0
16,13.0,34.0
17,13.0,34.0
18,13.0,46.0
19,14.0,26.0
20,14.0,36.0
21,14.0,60.0
22,14.0,80.0
23,15.0,20.0
24,15.0,26.0
25,15.0,54.0
26,16.0,32.0
27,16.0,40.0
28,17.0,32.0
29,17.0,40.0
30,17.0,50.0
31,18.0,42.0
32,18.0,56.0
33,18.0,76.0
34,18.0,84.0
35,19.0,36.0
36,19.0,46.0
37,19.0,68.0
38,20.0,32.0
39,20.0,48.0
40,20.0,52.0
41,20.0,56.0
42,20.0,64.0
43,22.0,66.0
44,23.0,54.0
45,24.0,70.0
46,24.0,92.0
47,24.0,93.0
48,24.0,120.0
49,25.0,85.0
